phone,gmaps_url,company,rating,category,latitude,longitude,updatedAt
61400004401,https://www.google.ca/maps/place/Action+Plus+Fencing/data=!4m7!3m6!1s0x8fb85259d0ff1419:0x3fcf7b1d522c9582!8m2!3d-37.9545231!4d144.6463799!16s%2Fg%2F11vplt15dl!19sChIJGRT_0FlSuI8RgpUsUh17zz8?authuser=0&hl=en&rclk=1,Action Plus Fencing,5,Fence contractor,-37.9545231,144.6463799,24/02/2024 12:55
61400016506,https://www.google.ca/maps/place/Cooloola+Rural+Contracting/data=!4m7!3m6!1s0x6b94ba35db8fca7f:0x62c6203dce14d99b!8m2!3d-26.370897!4d152.4721332!16s%2Fg%2F11b6_ddkw0!19sChIJf8qP2zW6lGsRm9kUzj0gxmI?authuser=0&hl=en&rclk=1,Cooloola Rural Contracting,1,Fence contractor,-26.370897,152.4721332,24/02/2024 16:47
61400034347,https://www.google.ca/maps/place/Straight+Up+Fencing/data=!4m7!3m6!1s0x6b913a8daaa037d7:0xeef341570b00e5b1!8m2!3d-27.864038!4d153.035649!16s%2Fg%2F1tgwmw7z!19sChIJ1zegqo06kWsRseUAC1dB8-4?authuser=0&hl=en&rclk=1,Straight Up Fencing,4.5,Fence contractor,-27.864038,153.035649,25/02/2024 2:20
61400058536,https://www.google.ca/maps/place/Wilkins+Brush+Fencing/data=!4m7!3m6!1s0x6ad5dbe3379f8351:0x5d65ca85d3bed6e9!8m2!3d-38.2496367!4d145.0377538!16s%2Fg%2F11h77l8jl3!19sChIJUYOfN-Pb1WoR6da-04XKZV0?authuser=0&hl=en&rclk=1,Wilkins Brush Fencing,5,Fence contractor,-38.2496367,145.0377538,25/02/2024 4:35
61400062071,https://www.google.ca/maps/place/JVC+Fencing+%26+Gates/data=!4m7!3m6!1s0xaf9a018b8c3ee307:0x574db0b395c126c1!8m2!3d-37.6509053!4d143.6803297!16s%2Fg%2F11thpw9h6g!19sChIJB-M-jIsBmq8RwSbBlbOwTVc?authuser=0&hl=en&rclk=1,JVC Fencing & Gates,3.7,Fence contractor,-37.6509053,143.6803297,24/02/2024 20:33
61400106787,https://www.google.ca/maps/place/Jasco+Fencing+and+Gates/data=!4m7!3m6!1s0x650763c98a59c1e9:0x122d059d18d0a36d!8m2!3d-34.0833879!4d150.7012784!16s%2Fg%2F11vf7dd4wz!19sChIJ6cFZisljB2URbaPQGJ0FLRI?authuser=0&hl=en&rclk=1,Jasco Fencing and Gates,5,Fence contractor,-34.0833879,150.7012784,24/02/2024 20:36
61400109136,https://www.google.ca/maps/place/JAS+Wearne+Building+%26+Fencing/data=!4m7!3m6!1s0x6b1481af5f84ddd3:0xf7654059ba404aa!8m2!3d-34.880893!4d150.6060621!16s%2Fg%2F11flk9kpjb!19sChIJ092EX6-BFGsRqgSkmwVUdg8?authuser=0&hl=en&rclk=1,JAS Wearne Building & Fencing,,Fence contractor,-34.880893,150.6060621,24/02/2024 20:22
61400122014,https://www.google.ca/maps/place/Bruff+Contracting/data=!4m7!3m6!1s0x6ad66a68a7568f05:0x859c5ce4730d5011!8m2!3d-37.8865803!4d145.0824063!16s%2Fg%2F11fkl0vbrx!19sChIJBY9Wp2hq1moREVANc-RcnIU?authuser=0&hl=en&rclk=1,Bruff Contracting,,Fence contractor,-37.8865803,145.0824063,24/02/2024 15:39
61400124645,https://www.google.ca/maps/place/Pool+Fencing+Solutions/data=!4m7!3m6!1s0x6b915bdf7b4cab83:0x223ab58b89900b18!8m2!3d-27.4080854!4d152.7469626!16s%2Fg%2F11c558ld18!19sChIJg6tMe99bkWsRGAuQiYu1OiI?authuser=0&hl=en&rclk=1,Pool Fencing Solutions,5,Swimming pool contractor,-27.4080854,152.7469626,24/02/2024 23:53
61400141388,https://www.google.ca/maps/place/Haeusler+Fencing+%26+Fabrication/data=!4m7!3m6!1s0x6adb859b553f2aa1:0xdbad5c7641a65c4d!8m2!3d-35.3275072!4d143.5357537!16s%2Fg%2F11j73zvsyt!19sChIJoSo_VZuF22oRTVymQXZcrds?authuser=0&hl=en&rclk=1,Haeusler Fencing & Fabrication,5,Welder,-35.3275072,143.5357537,24/02/2024 19:36
